Approach	PrunedMSM	PrunedMSM_DA	PMSMSearch with LB_Sorted	PMSMSearch with LB_Sorted2	DTW	PMSMSearch with Sakoe 1	PMSMSearch with Sakoe 5	PMSMSearch with Sakoe 10	PMSMSearch with Sakoe 20	PMSMSearch with Sakoe 50	PMSMSearch with LBKIm 5	PMSMSearch with LBKIm 10	PMSMSearch with LBKIm 20	PMSMSearch with LBKIm 50	PMSMSearch with LBSakoeTree5	PMSMSearch with LBSakoeTree10	PMSMSearch with LBSakoeTree20	PMSMSearch with LBSakoeTree50	PMSMSearch with Itakura 0.95	PMSMSearch with Itakura 0.9	PMSMSearch with Itakura 0.8	PMSMSearch with Itakura 0.5	PMSMSearch with LB_EDCost	PMSMSearch with LB_EDCost2	PMSMSearch with LB_EDCost3
LargeKitchenAppliances	0.658667	0.658667	0.658667	0.658667	0.7947	0.554667	0.664000	0.658667	0.658667	0.658667	0.658667	0.658667	0.658667	0.658667	0.658667	0.658667	0.658667	0.658667	0.549333	0.632000	0.640000	0.648000	0.658667	0.658667	0.658667
Lightning2	0.868852	0.868852	0.868852	0.868852	0.8689	0.819672	0.868852	0.852459	0.868852	0.868852	0.868852	0.868852	0.868852	0.868852	0.868852	0.868852	0.868852	0.868852	0.819672	0.836066	0.885246	0.868852	0.868852	0.868852	0.868852
Lightning7	0.753425	0.753425	0.753425	0.753425	0.726	0.698630	0.753425	0.739726	0.753425	0.753425	0.753425	0.753425	0.753425	0.753425	0.753425	0.753425	0.753425	0.753425	0.712329	0.753425	0.739726	0.753425	0.753425	0.753425	0.753425
Mallat	0.933902	0.933902	0.933902	0.933902	0.9339	0.923241	0.933902	0.933902	0.933902	0.933902	0.933902	0.933902	0.933902	0.933902	0.933902	0.933902	0.933902	0.933902	0.921109	0.932623	0.932623	0.934755	0.898934	0.921109	0.933902
Meat	0.933333	0.933333	0.933333	0.933333	0.9333	0.933333	0.933333	0.933333	0.933333	0.933333	0.933333	0.933333	0.933333	0.933333	0.933333	0.933333	0.933333	0.933333	0.650000	0.300000	0.933333	0.933333	0.933333	0.933333	0.933333
MedicalImages	0.740789	0.740789	0.740789	0.740789	0.7368	0.556579	0.738158	0.738158	0.740789	0.740789	0.740789	0.740789	0.740789	0.740789	0.740789	0.740789	0.740789	0.740789	0.628947	0.644737	0.703947	0.730263	0.723684	0.740789	0.740789
MiddlePhalanxOutlineAgeGroup	0.512987	0.512987	0.512987	0.512987	0.5	0.519481	0.512987	0.512987	0.512987	0.512987	0.512987	0.512987	0.512987	0.512987	0.512987	0.512987	0.512987	0.512987	0.506494	0.435065	0.487013	0.525974	0.519481	0.525974	0.512987
MiddlePhalanxOutlineCorrect	0.742268	0.742268	0.742268	0.742268	0.6976	0.556701	0.742268	0.742268	0.742268	0.742268	0.742268	0.742268	0.742268	0.742268	0.742268	0.742268	0.742268	0.742268	0.659794	0.701031	0.718213	0.738832	0.745704	0.749141	0.742268
MiddlePhalanxTW	0.551948	0.551948	0.551948	0.551948	0.5065	0.487013	0.551948	0.551948	0.551948	0.551948	0.551948	0.551948	0.551948	0.551948	0.551948	0.551948	0.551948	0.551948	0.512987	0.538961	0.506494	0.551948	0.545455	0.545455	0.551948
MoteStrain	0.890575	0.890575	0.890575	0.890575	0.8347	0.835463	0.897764	0.900160	0.894569	0.890575	0.890575	0.890575	0.890575	0.890575	0.890575	0.890575	0.890575	0.890575	0.883387	0.877796	0.871406	0.870607	0.890575	0.890575	0.890575
